perimetro,area,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7
170.08326029777527,524.0,0.4224246050052665,0.12028528884302657,4.590430950692443e-08,2.4810885467008913e-07,2.428800557774149e-14,8.510052786654081e-08,-1.054482068162319e-14
167.01219260692596,523.5,0.4248091066171674,0.12223076413855863,4.2568087462119656e-06,2.947488391380897e-07,3.2359672391107355e-13,3.986652348187901e-08,6.548787356122347e-14
169.23758828639984,529.5,0.41824836571056095,0.11787453139643075,7.546881196852166e-07,1.8006036444002214e-07,6.428315205951805e-14,4.090685880003141e-09,-1.653623401246334e-14
171.09545290470123,527.5,0.42377642936584015,0.12116768447484612,1.0400467806814751e-06,4.289465935126194e-08,-8.722728333695027e-15,-1.43131923990271e-08,2.4492391654340554e-15
162.83556735515594,537.5,0.4168356562203495,0.11757697363391363,2.9234862777576423e-06,3.992170349960067e-06,1.2470586152653044e-11,1.3221333496772534e-06,-5.521869071730158e-12
170.99494767189026,531.0,0.41668685380531656,0.11571428806687199,4.63660453337306e-07,3.405383372610636e-07,1.3531593810446216e-13,9.903525190691824e-08,8.798266708355107e-17
172.22539567947388,520.0,0.4229580707829887,0.11996275825923072,6.577968846035533e-06,4.958242647047278e-07,3.5029059053835314e-13,-2.502127702640843e-08,8.240832993216871e-13
163.79898953437805,516.0,0.425116251621173,0.119784687391342,1.6076214681938872e-05,1.7655347026248028e-06,5.869058035835077e-12,1.1315869928197288e-07,-7.350342043914309e-12
168.911687374115,520.0,0.42481272995368635,0.1215573950707923,1.7961936576493297e-05,1.9398174603502104e-05,3.574043969901241e-10,6.740851643882602e-06,-5.806958702421244e-11
163.86500489711761,533.5,0.41601903000485185,0.11709228331822558,2.364356485773424e-06,8.50966862811882e-07,1.2055930487229004e-12,2.1739088707907728e-07,5.929914930432068e-14
164.5269113779068,519.5,0.4274423218055106,0.12341263586503719,1.9075366032883253e-08,5.395152938793096e-07,-2.0693910568617167e-14,1.691688373973097e-07,5.06691662275867e-14
